% Date and time of this run: 10-Feb-2005 00:18:25
% %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%error bar	freq (Hz)	sens integrand
3.533831e-04	1.520000e+02	5.553641e+03
3.533831e-04	1.522500e+02	5.808774e+03
3.533831e-04	1.525000e+02	5.673389e+03
3.533831e-04	1.527500e+02	5.535724e+03
3.533831e-04	1.530000e+02	5.443118e+03
3.533831e-04	1.532500e+02	5.283458e+03
3.533831e-04	1.535000e+02	5.171335e+03
3.533831e-04	1.537500e+02	5.455191e+03
3.533831e-04	1.540000e+02	5.425627e+03
3.533831e-04	1.542500e+02	5.195586e+03
3.533831e-04	1.545000e+02	4.951473e+03
3.533831e-04	1.547500e+02	4.721832e+03
3.533831e-04	1.550000e+02	4.517784e+03
3.533831e-04	1.552500e+02	4.366337e+03
3.533831e-04	1.555000e+02	4.160590e+03
3.533831e-04	1.557500e+02	3.965408e+03
3.533831e-04	1.560000e+02	3.781692e+03
3.533831e-04	1.562500e+02	3.584914e+03
3.533831e-04	1.565000e+02	3.383538e+03
3.533831e-04	1.567500e+02	3.151428e+03
3.533831e-04	1.570000e+02	2.902606e+03
3.533831e-04	1.572500e+02	2.583115e+03
3.533831e-04	1.575000e+02	2.339260e+03
3.533831e-04	1.577500e+02	2.209434e+03
3.533831e-04	1.580000e+02	2.165577e+03
3.533831e-04	1.582500e+02	2.079410e+03
3.533831e-04	1.585000e+02	1.934848e+03
3.533831e-04	1.587500e+02	1.798754e+03
3.533831e-04	1.590000e+02	1.657739e+03
3.533831e-04	1.592500e+02	1.491195e+03
3.533831e-04	1.595000e+02	1.361972e+03
3.533831e-04	1.597500e+02	1.275757e+03
3.533831e-04	1.600000e+02	0.000000e+00
3.533831e-04	1.602500e+02	1.070354e+03
3.533831e-04	1.605000e+02	9.830519e+02
3.533831e-04	1.607500e+02	8.830977e+02
3.533831e-04	1.610000e+02	7.934514e+02
3.533831e-04	1.612500e+02	7.083148e+02
3.533831e-04	1.615000e+02	6.280023e+02
3.533831e-04	1.617500e+02	5.598779e+02
3.533831e-04	1.620000e+02	4.927598e+02
3.533831e-04	1.622500e+02	4.313442e+02
3.533831e-04	1.625000e+02	3.767201e+02
3.533831e-04	1.627500e+02	3.219914e+02
3.533831e-04	1.630000e+02	2.666694e+02
3.533831e-04	1.632500e+02	2.182643e+02
3.533831e-04	1.635000e+02	1.892910e+02
3.533831e-04	1.637500e+02	1.561519e+02
3.533831e-04	1.640000e+02	1.243279e+02
3.533831e-04	1.642500e+02	9.665127e+01
3.533831e-04	1.645000e+02	7.390863e+01
3.533831e-04	1.647500e+02	5.411755e+01
3.533831e-04	1.650000e+02	3.745023e+01
3.533831e-04	1.652500e+02	2.392481e+01
3.533831e-04	1.655000e+02	1.314218e+01
3.533831e-04	1.657500e+02	5.695005e+00
3.533831e-04	1.660000e+02	1.545930e+00
3.533831e-04	1.662500e+02	2.142925e-02
3.533831e-04	1.665000e+02	1.194217e-01
3.533831e-04	1.667500e+02	2.693371e-01
3.533831e-04	1.670000e+02	3.145995e+00
3.533831e-04	1.672500e+02	1.780323e+01
3.533831e-04	1.675000e+02	2.760866e+01
3.533831e-04	1.677500e+02	3.928225e+01
3.533831e-04	1.680000e+02	4.745559e+01
3.533831e-04	1.682500e+02	6.126707e+01
3.533831e-04	1.685000e+02	8.507106e+01
3.533831e-04	1.687500e+02	1.049587e+02
3.533831e-04	1.690000e+02	1.238695e+02
3.533831e-04	1.692500e+02	1.443634e+02
3.533831e-04	1.695000e+02	1.661859e+02
3.533831e-04	1.697500e+02	1.899287e+02
3.533831e-04	1.700000e+02	2.149453e+02
3.533831e-04	1.702500e+02	2.439271e+02
3.533831e-04	1.705000e+02	2.734642e+02
3.533831e-04	1.707500e+02	3.012785e+02
3.533831e-04	1.710000e+02	3.321810e+02
3.533831e-04	1.712500e+02	3.601016e+02
3.533831e-04	1.715000e+02	3.888204e+02
3.533831e-04	1.717500e+02	4.198629e+02
3.533831e-04	1.720000e+02	4.527461e+02
3.533831e-04	1.722500e+02	4.833631e+02
3.533831e-04	1.725000e+02	5.163469e+02
3.533831e-04	1.727500e+02	5.408837e+02
3.533831e-04	1.730000e+02	5.364630e+02
3.533831e-04	1.732500e+02	5.736323e+02
3.533831e-04	1.735000e+02	6.192208e+02
3.533831e-04	1.737500e+02	6.518937e+02
3.533831e-04	1.740000e+02	6.807306e+02
3.533831e-04	1.742500e+02	6.745478e+02
3.533831e-04	1.745000e+02	6.729261e+02
3.533831e-04	1.747500e+02	7.051026e+02
3.533831e-04	1.750000e+02	7.657860e+02
3.533831e-04	1.752500e+02	8.064878e+02
3.533831e-04	1.755000e+02	8.312540e+02
3.533831e-04	1.757500e+02	8.576019e+02
3.533831e-04	1.760000e+02	0.000000e+00
3.533831e-04	1.762500e+02	9.132003e+02
3.533831e-04	1.765000e+02	9.253673e+02
3.533831e-04	1.767500e+02	9.317203e+02
